genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['chanson'],0.608,0.347,0.545,62.017,2,0.0,2,Happy / Dance,-55.63403941543028,-0.05325882231542223
['chanson'],0.488,0.309,0.625,120.114,0,0.0,1,Instrumental / Acoustic,2.462920033462737,-0.1388425245802275
['chanson'],0.589,0.235,0.631,171.653,0,0.0,0,Instrumental / Acoustic,54.001662318112636,-0.2210667498341684
['chanson'],0.482,0.104,0.308,98.233,0,0.0,0,Instrumental / Acoustic,-19.418654334071036,-0.46529052514680735
['chanson'],0.435,0.239,0.517,73.393,0,0.0,0,Instrumental / Acoustic,-44.25817962696982,-0.20866582049603533
['classic bollywood'],0.7,0.352,0.645,66.275,0,0.0,0,Instrumental / Acoustic,-51.37599316786482,0.04744291629462205
['classic bollywood'],0.565,0.116,0.504,127.193,0,0.0,0,Instrumental / Acoustic,9.541447965787611,-0.3277637774128384
['classic bollywood'],0.742,0.179,0.715,75.447,0,0.0,0,Instrumental / Acoustic,-42.204249215760896,-0.0010166255510327682
['classic bollywood'],0.718,0.178,0.696,125.346,0,0.0,0,Instrumental / Acoustic,7.694651748855435,-0.09669287169062879
['chanson'],0.637,0.345,0.648,80.075,0,0.0,0,Instrumental / Acoustic,-37.575997506502716,0.005372898194603293
['chanson'],0.908,0.442,0.887,116.243,1,0.0,1,Mainstream / Party,-1.4078203267453944,0.2736193886671765
['chanson'],0.581,0.09,0.364,198.226,0,0.0,0,Instrumental / Acoustic,80.57414226405166,-0.5469221727730836
['opm'],0.607,0.368,0.306,69.994,0,0.0,0,Instrumental / Acoustic,-47.65723304213583,-0.2319870092383236
['rebetiko'],0.514,0.342,0.783,87.379,0,0.0,0,Instrumental / Acoustic,-30.27183703552882,0.05496060139761161
['broadway'],0.485,0.103,0.642,96.291,0,0.0,0,Instrumental / Acoustic,-21.36035523462951,-0.2120232457269302
['poetry'],0.611,0.0504,0.288,177.684,2,0.0,2,Happy / Dance,60.032033395708254,-0.5872010495216203
['panamanian pop'],0.847,0.687,0.609,97.979,1,0.0,1,Mainstream / Party,-19.671607193580456,0.21560129930244276
['american folk revival'],0.744,0.0585,0.769,111.944,0,0.0,0,Instrumental / Acoustic,-5.707465365111872,-0.0836920381360775
['rebetiko'],0.52,0.49,0.895,161.66,0,0.0,0,Instrumental / Acoustic,44.00936483102453,0.11782172777127109
['poetry'],0.71,0.0533,0.575,107.791,2,0.0,2,Happy / Dance,-9.860623563011117,-0.23664219469666614
['poetry'],0.673,0.0604,0.297,89.489,2,0.0,2,Happy / Dance,-28.162809372066633,-0.42549631260104187
['calypso'],0.572,0.549,0.961,190.569,1,0.0,0,Mainstream / Party,72.91844224783384,0.1756310820515381
['vintage hollywood'],0.307,0.106,0.512,138.038,0,0.0,0,Instrumental / Acoustic,20.386540766826528,-0.4253429389833919
['vintage hollywood'],0.357,0.212,0.24,129.266,0,0.0,0,Instrumental / Acoustic,11.614462858891784,-0.5385257349747845
['filmi'],0.504,0.726,0.817,100.874,0,0.0,0,Instrumental / Acoustic,-16.77620098009008,0.28099216905092295
