genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['vintage chanson'],0.712,0.427,0.875,111.501,1,0.0,,Mainstream / Party
['reading'],0.715,0.19,0.876,109.476,2,0.0,,Happy / Dance
['reading'],0.741,0.247,0.721,107.665,2,0.0,,Happy / Dance
['reading'],0.718,0.302,0.752,83.744,2,0.0,,Happy / Dance
['reading'],0.722,0.284,0.881,86.696,2,0.0,,Happy / Dance
['reading'],0.736,0.237,0.807,86.396,2,0.0,,Happy / Dance
['reading'],0.723,0.234,0.798,81.711,2,0.0,,Happy / Dance
['reading'],0.729,0.218,0.787,121.104,2,0.0,,Happy / Dance
['reading'],0.705,0.205,0.827,106.299,2,0.0,,Happy / Dance
['reading'],0.714,0.195,0.607,110.213,2,0.0,,Happy / Dance
['vintage schlager'],0.748,0.321,0.914,73.931,2,0.0,,Happy / Dance
['vintage schlager'],0.724,0.0731,0.795,117.825,2,0.0,,Happy / Dance
['vintage schlager'],0.703,0.196,0.92,80.894,2,0.0,,Happy / Dance
['vintage schlager'],0.72,0.128,0.641,115.469,2,0.0,,Happy / Dance
['vintage schlager'],0.71,0.179,0.836,76.445,2,0.0,,Happy / Dance
['barrelhouse piano'],0.713,0.229,0.779,81.325,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.723,0.116,0.614,112.362,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.702,0.186,0.576,106.793,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.74,0.0413,0.477,89.864,0,0.0,0.0,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.805,0.0685,0.708,115.303,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.702,0.222,0.486,112.544,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.773,0.113,0.525,109.641,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.707,0.0924,0.646,105.074,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.71,0.0388,0.684,106.905,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.807,0.0967,0.528,100.888,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.719,0.119,0.579,109.525,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.793,0.0928,0.441,88.361,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.773,0.173,0.502,109.757,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.706,0.291,0.753,104.676,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.775,0.0908,0.671,114.714,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.735,0.313,0.617,113.809,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.735,0.313,0.617,113.809,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.71,0.0473,0.526,88.871,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.793,0.0928,0.441,88.361,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.789,0.134,0.463,114.234,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.789,0.134,0.463,114.234,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.751,0.167,0.569,108.514,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.718,0.0856,0.355,86.326,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.733,0.146,0.6,88.452,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.751,0.167,0.569,108.514,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.718,0.0856,0.355,86.326,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.733,0.146,0.6,88.452,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.717,0.111,0.15,82.181,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.785,0.147,0.261,100.824,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.721,0.0908,0.335,110.684,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.704,0.234,0.742,125.988,0,0.0,,Instrumental / Acoustic
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.712,0.168,0.546,107.227,0,0.0,0.0,Instrumental / Acoustic
['psychedelic rock'],0.701,0.217,0.519,96.97,2,0.0,,Happy / Dance
['psychedelic rock'],0.736,0.256,0.481,89.806,2,0.0,,Happy / Dance
['psychedelic rock'],0.708,0.215,0.473,133.564,2,0.0,,Happy / Dance
['psychedelic rock'],0.707,0.193,0.444,91.359,2,0.0,,Happy / Dance
['psychedelic rock'],0.715,0.18,0.512,129.256,2,0.0,2.0,Happy / Dance
['psychedelic rock'],0.701,0.206,0.578,80.883,2,0.0,,Happy / Dance
['psychedelic rock'],0.708,0.184,0.514,93.595,2,0.0,,Happy / Dance
['psychedelic rock'],0.723,0.224,0.506,123.371,2,0.0,,Happy / Dance
['psychedelic rock'],0.72,0.219,0.641,127.702,2,0.0,,Happy / Dance
['psychedelic rock'],0.738,0.26,0.572,85.374,2,0.0,,Happy / Dance
['psychedelic rock'],0.714,0.211,0.514,130.969,2,0.0,,Happy / Dance
['psychedelic rock'],0.737,0.264,0.632,97.019,2,0.0,,Happy / Dance
['psychedelic rock'],0.713,0.264,0.59,108.578,2,0.0,,Happy / Dance
['psychedelic rock'],0.725,0.213,0.599,125.028,2,0.0,,Happy / Dance
['psychedelic rock'],0.715,0.228,0.589,111.409,2,0.0,,Happy / Dance
['psychedelic rock'],0.72,0.157,0.54,80.815,2,0.0,,Happy / Dance
['psychedelic rock'],0.717,0.451,0.671,123.596,2,0.0,,Happy / Dance
['psychedelic rock'],0.751,0.419,0.843,62.364,2,0.0,,Happy / Dance
['psychedelic rock'],0.718,0.53,0.426,117.13,2,0.0,,Happy / Dance
['psychedelic rock'],0.716,0.438,0.753,90.505,2,0.0,,Happy / Dance
['psychedelic rock'],0.719,0.382,0.777,109.617,2,0.0,,Happy / Dance
['psychedelic rock'],0.793,0.469,0.706,40.145,2,0.0,,Happy / Dance
['psychedelic rock'],0.701,0.39,0.728,91.434,2,0.0,,Happy / Dance
['psychedelic rock'],0.729,0.426,0.638,95.922,2,0.0,,Happy / Dance
['psychedelic rock'],0.72,0.464,0.576,116.001,2,0.0,,Happy / Dance
['psychedelic rock'],0.719,0.521,0.55,115.978,2,0.0,,Happy / Dance
['psychedelic rock'],0.765,0.443,0.738,112.481,2,0.0,,Happy / Dance
['psychedelic rock'],0.764,0.394,0.751,117.161,2,0.0,,Happy / Dance
['psychedelic rock'],0.719,0.472,0.727,116.007,2,0.0,,Happy / Dance
['psychedelic rock'],0.737,0.423,0.818,103.81,2,0.0,,Happy / Dance
['psychedelic rock'],0.727,0.362,0.753,95.823,2,0.0,,Happy / Dance
['psychedelic rock'],0.735,0.441,0.728,119.137,2,0.0,,Happy / Dance
['psychedelic rock'],0.744,0.456,0.561,72.729,2,0.0,,Happy / Dance
['psychedelic rock'],0.729,0.488,0.559,121.916,2,0.0,,Happy / Dance
['psychedelic rock'],0.708,0.393,0.788,87.774,2,0.0,,Happy / Dance
['psychedelic rock'],0.74,0.417,0.782,83.238,2,0.0,,Happy / Dance
['psychedelic rock'],0.735,0.368,0.781,80.888,2,0.0,,Happy / Dance
['psychedelic rock'],0.737,0.377,0.877,84.501,2,0.0,,Happy / Dance
['psychedelic rock'],0.749,0.514,0.693,115.677,2,0.0,,Happy / Dance
['psychedelic rock'],0.736,0.46,0.665,105.99,2,0.0,,Happy / Dance
['psychedelic rock'],0.704,0.432,0.605,131.386,2,0.0,,Happy / Dance
['psychedelic rock'],0.715,0.384,0.723,124.078,2,0.0,,Happy / Dance
['psychedelic rock'],0.706,0.45,0.698,72.755,2,0.0,,Happy / Dance
['psychedelic rock'],0.713,0.309,0.575,128.675,2,0.0,,Happy / Dance
['psychedelic rock'],0.723,0.326,0.579,120.183,2,0.0,,Happy / Dance
['psychedelic rock'],0.725,0.307,0.583,65.211,2,0.0,,Happy / Dance
['psychedelic rock'],0.719,0.338,0.517,118.319,2,0.0,,Happy / Dance
['psychedelic rock'],0.758,0.331,0.514,75.652,2,0.0,,Happy / Dance
['psychedelic rock'],0.738,0.275,0.527,123.614,2,0.0,,Happy / Dance
['psychedelic rock'],0.723,0.245,0.462,81.735,2,0.0,,Happy / Dance
['psychedelic rock'],0.72,0.389,0.558,117.675,2,0.0,,Happy / Dance
['psychedelic rock'],0.716,0.371,0.518,126.528,2,0.0,,Happy / Dance
['psychedelic rock'],0.707,0.393,0.499,83.557,2,0.0,,Happy / Dance
['psychedelic rock'],0.721,0.344,0.617,65.975,2,0.0,,Happy / Dance
